@relation BinaryFileDataset

@attribute a_1 numeric
@attribute a_2 numeric
@attribute a_3 numeric
@attribute a_4 numeric
@attribute a_5 numeric
@attribute a_6 numeric
@attribute a_7 numeric
@attribute a_8 numeric
@attribute a_9 numeric
@attribute a_10 numeric
@attribute a_11 numeric
@attribute a_12 numeric
@attribute a_13 numeric
@attribute a_14 numeric
@attribute a_15 numeric
@attribute klasa {jpg,png,exe,pdf,dll,zip}

@data
4000,7.928619,1.00275,0.003,0.37275,0.003,0,127.716,127.462,132.18,122.028,127.946,132.204,125.84,128.594,png
4000,7.844418,0.972,0.01025,0.37225,0.008,0,117.504,115.13,117.976,113.7,121.826,125.258,111.378,113.048,png
4000,6.977893,0.64425,0,0.313,0.0025,0,99.564,96.464,98.154,98.752,123.178,147.338,151.894,143.81,png
4000,7.922514,0.99725,0.005,0.35475,0.006,0,125.644,131.79,132.404,131.788,135.19,128.262,126.956,127.086,png
4000,7.931661,1.00275,0.00425,0.36,0.00475,0,124.414,136.972,123.696,138.176,119.876,135.418,125.594,135.288,png
4000,7.913905,1.00275,0.0035,0.342,0.00375,0,135.204,127.24,129.646,136.166,138.476,129.104,131.142,145.516,png
4000,7.936336,1.00275,0.00275,0.356,0.008,0,123.494,118.82,134.562,124.558,122.2,125.704,127.92,122.748,png
4000,7.928552,1.00275,0.00525,0.39275,0.00125,0,122.48,121.346,129.27,120.192,126.368,129.762,129.616,134.224,png
4000,7.829563,0.95,0.01725,0.36875,0.00275,0,124.764,126.268,129.98,122.986,130.194,116.87,123.392,93.024,png
4000,7.855569,0.93425,0.0065,0.35,0.00225,0,127.474,145.296,135.744,123.368,121.77,137.414,132.468,127.802,png
4000,6.501442,0.5515,0.05425,0.3015,0.0545,0,43.884,43.048,69.864,68.77,113.848,118.7,94.394,116.012,png
4000,7.855866,0.9625,0.01225,0.34725,0.01775,0,126.72,129.086,137.21,135.778,110.526,116.056,108.964,115.608,png
4000,7.541179,0.8445,0.025,0.32625,0.03775,0,131.826,132.688,128.3,128.476,107.614,81.74,80.712,101.058,png
4000,7.937856,0.9955,0.00525,0.37,0.0025,0,126.758,126.24,129.45,128.722,120.684,134.786,121.752,127.17,png
4000,7.821664,0.93525,0.013,0.34225,0.0125,0,123.122,114.994,127.912,121.364,122.724,124.384,119.392,125.634,png
4000,7.71178,0.91175,0.01525,0.3285,0.03475,0,115.478,112.526,105.802,114.592,130.88,123.94,122.926,120.89,png
