@relation EnigmaDataset

@attribute ngram_1 numeric
@attribute ngram_2 numeric
@attribute ngram_3 numeric
@attribute ngram_4 numeric
@attribute ngram_5 numeric
@attribute ngram_6 numeric
@attribute ngram_7 numeric
@attribute ngram_8 numeric
@attribute ngram_9 numeric
@attribute ngram_10 numeric
@attribute prosecna_udaljenost numeric
@attribute stepen_kompresije numeric
@attribute kolmogorovska_slozenost numeric
@attribute senonova_entropija numeric
@attribute entropija_divergencije numeric
@attribute klasa {k1,k2}

@data
0.001786,0.001786,0.001786,0.001786,0.001786,0.001786,0.001786,0.001786,0.001786,0.001786,48.947368,0.848671,1.272054,6.413363,0.80167,k1
0.001786,0.001786,0.001786,0.001786,0.001786,0.001786,0.001786,0.001786,0.001786,0.001786,47.789474,0.849539,1.272846,6.396244,0.799531,k1
0.001832,0.001832,0.001832,0.001832,0.001832,0.001832,0.001832,0.001832,0.001832,0.001832,48.894737,0.850256,1.274747,6.428367,0.803546,k1
0.001733,0.001733,0.001733,0.001733,0.001733,0.001733,0.001733,0.001733,0.001733,0.001733,43.190476,0.849746,1.268283,6.413742,0.801718,k1
0.0033,0.00165,0.00165,0.00165,0.00165,0.00165,0.00165,0.00165,0.00165,0.00165,53.5,0.846311,1.273737,6.392567,0.799071,k1
0.001742,0.001742,0.001742,0.001742,0.001742,0.001742,0.001742,0.001742,0.001742,0.001742,45.75,0.847716,1.268283,6.402061,0.800258,k1
0.001812,0.001812,0.001812,0.001812,0.001812,0.001812,0.001812,0.001812,0.001812,0.001812,58.3125,0.852308,1.274747,6.421982,0.802748,k1
0.001779,0.001779,0.001779,0.001779,0.001779,0.001779,0.001779,0.001779,0.001779,0.001779,51.888889,0.848205,1.274747,6.418702,0.802338,k1
0.001783,0.001783,0.001783,0.001783,0.001783,0.001783,0.001783,0.001783,0.001783,0.001783,54.294118,0.849899,1.26791,6.42395,0.802994,k1
0.004926,0.004926,0.004926,0.004926,0.004926,0.004926,0.004926,0.004926,0.004926,0.004926,23,0.915942,1.288889,6.182363,0.772795,k1
0.003478,0.001739,0.001739,0.001739,0.001739,0.001739,0.001739,0.001739,0.001739,0.001739,61.066667,0.852004,1.277234,6.418379,0.802297,k1
0.001792,0.001792,0.001792,0.001792,0.001792,0.001792,0.001792,0.001792,0.001792,0.001792,45.533333,0.849693,1.272054,6.424234,0.803029,k1
0.001825,0.001825,0.001825,0.001825,0.001825,0.001825,0.001825,0.001825,0.001825,0.001825,44.047619,0.846939,1.270707,6.405814,0.800727,k1
0.003839,0.001919,0.001919,0.001919,0.001919,0.001919,0.001919,0.001919,0.001919,0.001919,50.157895,0.848671,1.272054,6.401405,0.800176,k1
0.003676,0.003676,0.001838,0.001838,0.001838,0.001838,0.001838,0.001838,0.001838,0.001838,46.777778,0.848049,1.275902,6.412608,0.801576,k1
0.001876,0.001876,0.001876,0.001876,0.001876,0.001876,0.001876,0.001876,0.001876,0.001876,51.5,0.851249,1.270353,6.4089,0.801113,k1
0.001739,0.001739,0.001739,0.001739,0.001739,0.001739,0.001739,0.001739,0.001739,0.001739,41.1,0.846782,1.271345,6.391468,0.798934,k1
0.001761,0.001761,0.001761,0.001761,0.001761,0.001761,0.001761,0.001761,0.001761,0.001761,48.15,0.848241,1.305882,6.411696,0.801462,k1
0.001795,0.001795,0.001795,0.001795,0.001795,0.001795,0.001795,0.001795,0.001795,0.001795,47.789474,0.84919,1.267244,6.399004,0.799875,k1
0.001736,0.001736,0.001736,0.001736,0.001736,0.001736,0.001736,0.001736,0.001736,0.001736,50.315789,0.852041,1.270707,6.413042,0.80163,k1
0.001764,0.001764,0.001764,0.001764,0.001764,0.001764,0.001764,0.001764,0.001764,0.001764,54.055556,0.850806,1.376471,6.408165,0.801021,k1
0.003597,0.003597,0.003597,0.003597,0.003597,0.003597,0.003597,0.003597,0.003597,0.003597,43.3,0.893162,1.277778,6.360728,0.795091,k1
0.001838,0.001838,0.001838,0.001838,0.001838,0.001838,0.001838,0.001838,0.001838,0.001838,45.833333,0.853221,1.273039,6.426323,0.80329,k1
0.003306,0.001653,0.001653,0.001653,0.001653,0.001653,0.001653,0.001653,0.001653,0.001653,44.75,0.847,1.282353,6.409979,0.801247,k1
0.001832,0.001832,0.001832,0.001832,0.001832,0.001832,0.001832,0.001832,0.001832,0.001832,54.058824,0.851434,1.273737,6.413273,0.801659,k1
0.001802,0.001802,0.001802,0.001802,0.001802,0.001802,0.001802,0.001802,0.001802,0.001802,42.714286,0.84919,1.267244,6.417178,0.802147,k1
0.001773,0.001773,0.001773,0.001773,0.001773,0.001773,0.001773,0.001773,0.001773,0.001773,54.882353,0.849847,1.271345,6.412178,0.801522,k1
0.003571,0.001786,0.001786,0.001786,0.001786,0.001786,0.001786,0.001786,0.001786,0.001786,48.421053,0.850976,1.277234,6.412085,0.801511,k1
0.001789,0.001789,0.001789,0.001789,0.001789,0.001789,0.001789,0.001789,0.001789,0.001789,51.777778,0.851967,1.29899,6.409785,0.801223,k1
0.001748,0.001748,0.001748,0.001748,0.001748,0.001748,0.001748,0.001748,0.001748,0.001748,43.857143,0.852273,1.288889,6.40891,0.801114,k1
