@relation EnigmaDataset

@attribute ngram_1 numeric
@attribute ngram_2 numeric
@attribute ngram_3 numeric
@attribute ngram_4 numeric
@attribute ngram_5 numeric
@attribute ngram_6 numeric
@attribute ngram_7 numeric
@attribute ngram_8 numeric
@attribute ngram_9 numeric
@attribute ngram_10 numeric
@attribute prosecna_udaljenost numeric
@attribute stepen_kompresije numeric
@attribute kolmogorovska_slozenost numeric
@attribute senonova_entropija numeric
@attribute entropija_divergencije numeric
@attribute klasa {k1,k2}

@data
0.004963,0.004963,0.002481,0.002481,0.002481,0.002481,0.002481,0.002481,0.002481,0.002481,40.470588,0.863071,1.36,6.362129,0.795266,k2
0.001689,0.001689,0.001689,0.001689,0.001689,0.001689,0.001689,0.001689,0.001689,0.001689,49.631579,0.847561,1.268687,6.411072,0.801384,k1
0.001786,0.001786,0.001786,0.001786,0.001786,0.001786,0.001786,0.001786,0.001786,0.001786,44.857143,0.85061,1.268687,6.407272,0.800909,k2
0.001876,0.001876,0.001876,0.001876,0.001876,0.001876,0.001876,0.001876,0.001876,0.001876,55.666667,0.852747,1.283871,6.414919,0.801865,k1
0.001976,0.001976,0.001976,0.001976,0.001976,0.001976,0.001976,0.001976,0.001976,0.001976,46.823529,0.853846,1.283871,6.408693,0.801087,k2
0.001757,0.001757,0.001757,0.001757,0.001757,0.001757,0.001757,0.001757,0.001757,0.001757,43.95,0.846078,1.266667,6.406687,0.800836,k1
0.001678,0.001678,0.001678,0.001678,0.001678,0.001678,0.001678,0.001678,0.001678,0.001678,52,0.85098,1.266667,6.416359,0.802045,k2
0.001709,0.001709,0.001709,0.001709,0.001709,0.001709,0.001709,0.001709,0.001709,0.001709,39.47619,0.847071,1.272664,6.405699,0.800712,k1
0.001672,0.001672,0.001672,0.001672,0.001672,0.001672,0.001672,0.001672,0.001672,0.001672,49.7,0.846077,1.272664,6.40766,0.800958,k2
0.003333,0.003333,0.001667,0.001667,0.001667,0.001667,0.001667,0.001667,0.001667,0.001667,52.368421,0.84668,1.31619,6.418848,0.802356,k1
0.003419,0.001709,0.001709,0.001709,0.001709,0.001709,0.001709,0.001709,0.001709,0.001709,53.263158,0.845703,1.31619,6.41323,0.801654,k2
0.003328,0.001664,0.001664,0.001664,0.001664,0.001664,0.001664,0.001664,0.001664,0.001664,35.714286,0.845703,1.31619,6.410622,0.801328,k1
0.001618,0.001618,0.001618,0.001618,0.001618,0.001618,0.001618,0.001618,0.001618,0.001618,43.086957,0.849609,1.31619,6.401057,0.800132,k2
